site,config,seed,norm_MSE,norm_MAE,raw_MSE
SQ2,FC_NoLSTM,55,0.11423830687999725,0.25146591663360596,
SQ2,M5_NoLSTM,42,0.11044237017631531,0.24842454493045807,
SQ2,M5_NoLSTM,123,0.11080096662044525,0.24824002385139465,
SQ2,M5_NoLSTM,456,0.11284750699996948,0.24459795653820038,
SQ2,M5_NoLSTM,789,0.10908426344394684,0.2400488257408142,
SQ2,M5_NoLSTM,2026,0.11415088176727295,0.25455811619758606,
SQ2,M5_NoLSTM,11,0.11582863330841064,0.26042431592941284,
SQ2,M5_NoLSTM,22,0.12963373959064484,0.2832217812538147,
SQ2,M5_NoLSTM,33,0.10430558025836945,0.24344566464424133,
SQ2,M5_NoLSTM,44,0.10085755586624146,0.2385123372077942,
SQ2,M5_NoLSTM,55,0.10284595191478729,0.24480092525482178,
Zone_D,FC_NoLSTM,42,0.14755475521087646,0.27157923579216003,
Zone_D,FC_NoLSTM,123,0.14363326132297516,0.2816901206970215,
Zone_D,FC_NoLSTM,456,0.13158662617206573,0.2636583149433136,
Zone_D,FC_NoLSTM,789,0.13814416527748108,0.25682130455970764,
Zone_D,FC_NoLSTM,2026,0.14121347665786743,0.2604414224624634,
Zone_D,FC_NoLSTM,11,0.12355863302946091,0.25626251101493835,
Zone_D,FC_NoLSTM,22,0.14529769122600555,0.268057644367218,
Zone_D,FC_NoLSTM,33,0.13856181502342224,0.25981974601745605,
Zone_D,FC_NoLSTM,44,0.13859739899635315,0.2636519968509674,
Zone_D,FC_NoLSTM,55,0.14661391079425812,0.27352282404899597,
Zone_D,M5_NoLSTM,42,0.13059189915657043,0.2511831820011139,
Zone_D,M5_NoLSTM,123,0.12457171827554703,0.2554737329483032,
Zone_D,M5_NoLSTM,456,0.12443561106920242,0.243012934923172,
Zone_D,M5_NoLSTM,789,0.12415226548910141,0.2701588273048401,
Zone_D,M5_NoLSTM,2026,0.12685492634773254,0.23848362267017365,
Zone_D,M5_NoLSTM,11,0.13505961000919342,0.26509469747543335,
Zone_D,M5_NoLSTM,22,0.1258266717195511,0.250461220741272,
Zone_D,M5_NoLSTM,33,0.12902718782424927,0.24454660713672638,
Zone_D,M5_NoLSTM,44,0.1242569088935852,0.2649506628513336,
Zone_D,M5_NoLSTM,55,0.12774302065372467,0.2567198574542999,
